f_energy_wavnum,f_energy_Hz,channel,gf,fb,symbol,calsym,gf_f,fb_f
39412.237,1181549140550854.8,1,0.44774204162191655,-0.13556063508609295,6p3P1,2o:0,0.024,-0.0022
54068.6829,1620938334741356.8,2,2.6461461198857683,-0.955675674096139,6p1P1,2o:1,1.15,-0.15
69661.803,2088408315008176.8,3,0.0068744893239962145,0.7210025229658474,7p3P1,2o:2,1e-05,0.11
71294.86,2137366132216588.0,4,0.3038950910509346,2.392872339808595,7p1P1,2o:3,0.02,1.24
76466.936,2292421069916869.0,5,0.07763632525039248,0.022729588642594226,8p3P1,2o:4,0.0014,0.00012
76863.137,2304298877082074.5,6,0.20695634441635244,-0.3524339549945801,8p1P1,2o:5,0.01,-0.029
78813.02,2362754898820316.0,17,0.7915610976725969,0.2742048076927856,6p1p12D5/2,d1,0.15,0.018
79412.615,2380730304705767.0,7,0.15099911201904573,-0.014397200431946458,9p3P1,0o:3,0.0055,-5e-05
79963.85,2397255914264330.0,8,0.5368339450664059,0.34553333212567966,9p1P1,2e:7,0.07,0.029
80916.551,2425817171717236.0,9,0.08557666709286636,0.0010285035372888049,10p3P1,0o:5,0.0018,2.6e-07
81153.485,2432920274341613.0,10,0.2507552641484744,0.19836729768078734,10p1P1,2e:9,0.0155,0.0097
81807.95,2452540641444110.0,11,0.06653288945706762,0.0025374648420690583,11p3P1,0o:7,0.0011,1.6e-06
81942.318,2456568892743764.5,12,0.14173224843048923,0.14173224843048923,11p1P1,2e:11,0.005,0.005
82378.38,2469641702625804.5,13,0.056542651082915896,0.005474718649863751,12p3P1,0o:9,0.0008,7.5e-06
82463.923,2472206217249273.0,14,0.09582299030343318,0.09990237338158563,12p1P1,2e:13,0.0023,0.0025
82765.67,2481252364731686.0,15,0.044596182275078174,0.008223129702212405,13p3P1,0o:11,0.0005,1.7e-05
82823.816,2482995537957973.0,16,0.06612360482054322,0.07721573480542003,13p1P1,2e:15,0.0011,0.0015
93736.4,2810146576007120.0,18,1.3643368110118048,0.46285885816181127,6p1p12D3/2,d2,0.53,0.061
