f_energy_wavnum,f_energy_Hz,channel,gf,fb,symbol,calsym,gf_f,fb_f
30656.09,919046457376922.0,1,-0.147136,-0.12851,5p3P1,2o:0,0.0034854187451509,0.0002769040804197
43692.38,1309864599607004.0,2,3.463518,3.97666,5p1P1,2o:1,1.933786662809828,0.6823270438513985
58461.6,1752634676261280.0,3,0.009921,-0.517303,6p3P1,2o:2,7.842189969473294e-05,0.027687869295753
59907.28,1795975072329423.8,4,-0.73677,5.40266,6p1P1,2o:3,0.1304449351133194,3.79945180059328
65025.5,1949415447767900.0,5,-0.00203,0.13284,7p3P1,2o:4,6.646476204947374e-05,0.0001411078827581
65501.41,1963682870636578.0,6,0.326994,-1.523744,7p1P1,2o:5,0.0349877424810365,0.0933267732628243
67842.06,2033853792318348.0,7,-0.00073,0.07266,8p3P1,2o:6,3.2649369373548816e-05,5.746601809334803e-06
68059.39,2040369181808062.0,8,0.198309,-0.813704,8p1P1,2o:7,0.0137116067737987,0.0148176218412469
69320.9,2078188300177220.0,9,0.000303,-0.048219,9p3P1,2o:8,1.775009732886679e-05,6.37468329570297e-08
69439.13,2081732746408154.5,10,0.139149,-0.538205,9p1P1,2o:9,0.0068767207622285,0.0045703358570092
70195.7,2104414144403060.0,11,-0.00022,-0.03463,10p3P1,2o:10,1.0497021106055424e-05,1.816778322175867e-07
70267.37,2106562756949544.8,12,0.107834,-0.398372,10p1P1,2o:11,0.0039925199664504,0.0019632452291535
