f_energy_wavnum,f_energy_Hz,channel,gf,fb,symbol,calsym,gf_f,fb_f
30656.09,919046457376922.0,1,0.147136,-0.12851,5p3P1,2o:0,0.0020159467599859754,0.0005126178920329422
43692.38,1309864599607004.0,2,3.463518,-3.97666,5p1P1,2o:1,1.5920804363128294,0.6995935144458035
58461.6,1752634676261280.0,3,0.009921,0.517303,6p3P1,2o:2,1.7478574175995504e-05,0.015840316032064955
59907.28,1795975072329423.8,4,-0.73677,-5.40266,6p1P1,2o:3,0.09877973909971446,1.7705085451364508
65025.5,1949415447767900.0,5,-0.00203,-0.13284,7p3P1,2o:4,8.139545995846276e-07,0.0011618353467714906
65501.41,1963682870636578.0,6,0.326994,1.523744,7p1P1,2o:5,0.021274267815001646,0.1539847870247963
67842.06,2033853792318348.0,7,-0.00073,-0.07266,8p3P1,2o:6,1.0981689304690525e-07,0.000362654411277254
68059.39,2040369181808062.0,8,0.198309,0.813704,8p1P1,2o:7,0.00813012657367715,0.04562723011553895
69320.9,2078188300177220.0,9,0.000303,0.048219,9p3P1,2o:8,1.9331869515607188e-08,0.00016319383271955518
69439.13,2081732746408154.5,10,0.139149,0.538205,9p1P1,2o:9,0.004084029361356461,0.02036586581417966
70195.7,2104414144403060.0,11,-0.00022,-0.03463,10p3P1,2o:10,1.0320013761726092e-08,8.523513299979159e-05
70267.37,2106562756949545.5,12,0.107834,0.398372,10p1P1,2o:11,0.002481930036325218,0.01129105340719262
